"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2021","92.421","92.000","92.415","91.990","0.05K","0.43%"
"Jun 29, 2021","92.021","91.855","92.165","91.855","0.11K","0.18%"
"Jun 28, 2021","91.856","91.735","91.975","91.675","0.14K","0.03%"
"Jun 25, 2021","91.829","91.735","91.780","91.500","0.05K","0.05%"
"Jun 24, 2021","91.780","91.765","91.825","91.650","0.04K","0.01%"
"Jun 23, 2021","91.770","91.720","91.835","91.500","0.16K","0.04%"
"Jun 22, 2021","91.731","91.925","92.095","91.650","0.08K","-0.14%"
"Jun 21, 2021","91.861","92.225","92.315","91.830","0.17K","-0.36%"
"Jun 18, 2021","92.189","91.880","92.345","91.785","0.16K","0.37%"
"Jun 17, 2021","91.848","91.380","91.950","91.280","0.24K","0.73%"
"Jun 16, 2021","91.182","90.480","91.280","90.420","0.24K","0.77%"
"Jun 15, 2021","90.487","90.465","90.665","90.320","0.12K","-0.00%"
"Jun 14, 2021","90.488","90.490","90.570","90.370","10.27K","-0.04%"
"Jun 11, 2021","90.527","90.040","90.580","89.915","24.18K","0.55%"
"Jun 10, 2021","90.031","90.100","90.275","89.935","31.17K","-0.07%"
"Jun 09, 2021","90.093","90.095","90.135","89.795","13.78K","0.07%"
"Jun 08, 2021","90.031","89.945","90.135","89.920","10.65K","0.13%"
"Jun 07, 2021","89.914","90.170","90.305","89.880","17.38K","-0.25%"
"Jun 04, 2021","90.140","90.510","90.625","90.030","1.98K","-0.40%"
"Jun 03, 2021","90.505","89.920","90.555","89.890","1.83K","0.67%"
"Jun 02, 2021","89.906","89.885","90.240","89.855","1.32K","0.10%"
"Jun 01, 2021","89.815","89.800","89.920","89.650","0.96K","-0.20%"
"May 31, 2021","89.998","90.010","90.115","89.800","0.42K","0.00%"
"May 28, 2021","89.998","90.030","90.430","89.975","0.71K","0.04%"
"May 27, 2021","89.959","90.100","90.175","89.900","0.53K","-0.08%"
"May 26, 2021","90.030","89.660","90.100","89.575","0.32K","0.44%"
"May 25, 2021","89.633","89.800","89.835","89.545","0.64K","-0.24%"
"May 24, 2021","89.853","89.975","90.065","89.785","0.18K","-0.18%"
"May 21, 2021","90.013","89.750","90.155","89.645","0.31K","0.23%"
"May 20, 2021","89.805","90.230","90.235","89.760","0.25K","-0.44%"
"May 19, 2021","90.201","89.795","90.280","89.690","0.48K","0.50%"
"May 18, 2021","89.749","90.180","90.185","89.695","0.62K","-0.45%"
"May 17, 2021","90.152","90.350","90.400","90.130","0.35K","-0.20%"
"May 14, 2021","90.337","90.805","90.805","90.280","0.41K","-0.46%"
"May 13, 2021","90.750","90.725","90.910","90.570","1.07K","0.09%"
"May 12, 2021","90.671","90.260","90.820","90.135","1.05K","0.62%"
