date,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Ticker
2018-06-30,3058250000.0,550771000.0,0.0,410014000.0,695894000.0,ANSS
2018-03-31,2959166000.0,551806000.0,0.0,405094000.0,885493000.0,ANSS
2017-12-31,2941623000.0,695792000.0,0.0,361477000.0,881501000.0,ANSS
2017-09-30,2846013000.0,558759000.0,0.0,251615000.0,919571000.0,ANSS
2017-06-30,2760965000.0,571550000.0,0.0,256396000.0,857996000.0,ANSS
2017-03-31,2794693000.0,583248000.0,0.0,288356000.0,866188000.0,ANSS
2016-12-31,2800526000.0,592121000.0,0.0,322029000.0,822479000.0,ANSS
2016-09-30,2730357000.0,500592000.0,0.0,239222000.0,837916000.0,ANSS
2016-06-30,2747661000.0,511801000.0,0.0,240994000.0,843355000.0,ANSS
2016-03-31,2758828000.0,524925000.0,0.0,228250000.0,863435000.0,ANSS
2015-12-31,2729904000.0,535477000.0,0.0,269642000.0,784168000.0,ANSS
2015-09-30,2701566000.0,489970000.0,0.0,217360000.0,776239000.0,ANSS
2015-06-30,2746030000.0,504725000.0,0.0,223146000.0,840354000.0,ANSS
2015-03-31,2681094000.0,529829000.0,0.0,223331000.0,760394000.0,ANSS
2014-12-31,2774103000.0,556602000.0,0.0,272335000.0,788064000.0,ANSS
2014-09-30,2789038000.0,533321000.0,0.0,211536000.0,816805000.0,ANSS
2014-06-30,2799196000.0,579424000.0,32000.0,235892000.0,782915000.0,ANSS
2014-03-31,2793229000.0,584516000.0,102000.0,232901000.0,857684000.0,ANSS
2013-12-31,2722382000.0,586136000.0,18136000.0,298579000.0,742486000.0,ANSS
2013-09-30,2618279000.0,529981000.0,11200000.0,228564000.0,707334000.0,ANSS
2013-06-30,2576036000.0,578201000.0,26574000.0,235147000.0,659403000.0,ANSS
2013-03-31,2599700000.0,593812000.0,26574000.0,264097000.0,650993000.0,ANSS
2012-12-31,2607417000.0,667126000.0,53149000.0,312866000.0,576703000.0,ANSS
2012-09-30,2558304000.0,661814000.0,79723000.0,249098000.0,554887000.0,ANSS
2012-06-30,2513222000.0,692373000.0,106298000.0,271175000.0,551484000.0,ANSS
2012-03-31,2517058000.0,696165000.0,116929000.0,255162000.0,557846000.0,ANSS
2011-12-31,2448470000.0,693997000.0,127572000.0,247898000.0,471828000.0,ANSS
2011-09-30,2347905000.0,654888000.0,138217000.0,199275000.0,406298000.0,ANSS
2011-06-30,2237975000.0,597681000.0,148840000.0,203368000.0,629712000.0,ANSS
2011-03-31,2178360000.0,601727000.0,154177000.0,217496000.0,549934000.0,ANSS
2010-12-31,2126876000.0,596947000.0,159525000.0,224006000.0,472479000.0,ANSS
2010-09-30,2118482000.0,658342000.0,164891000.0,170728000.0,494716000.0,ANSS
2010-06-30,1953550000.0,551000000.0,170275000.0,145252000.0,415488000.0,ANSS
2010-03-31,1954531000.0,595493000.0,205346000.0,161199000.0,389240000.0,ANSS
2009-12-31,1920182000.0,607551000.0,225426000.0,153819000.0,335878000.0,ANSS
2009-09-30,1852729000.0,595688000.0,232131000.0,117860000.0,293338000.0,ANSS
2009-06-30,1835124000.0,626383000.0,238556000.0,128482000.0,251703000.0,ANSS
2009-03-31,1824568000.0,663644000.0,271962000.0,137646000.0,229269000.0,ANSS
2008-12-31,1864514000.0,681615000.0,279000000.0,157285000.0,228176000.0,ANSS
2008-09-30,1841091000.0,678652000.0,300244000.0,140087000.0,209532000.0,ANSS
