Ticker,Date,Revenue,Operating Income,Net Income,EBITDA,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Adj Close
AAPL,2021-03-31,89584000000.0,27503000000.0,23630000000.0,31478000000.0,337158000000.0,267980000000.0,121645000000.0,33036000000.0,38466000000.0,23981000000.0,21712000000.0,-10368000000.0,-11326000000.0,126.08418223896965
AAPL,2021-06-30,81434000000.0,24126000000.0,21744000000.0,27866000000.0,329840000000.0,265560000000.0,121791000000.0,33908000000.0,34050000000.0,21094000000.0,19001000000.0,3572000000.0,-29396000000.0,127.4772698538644
AAPL,2021-09-30,83360000000.0,23786000000.0,20551000000.0,26909000000.0,351002000000.0,287912000000.0,124719000000.0,51506000000.0,34940000000.0,20200000000.0,16977000000.0,835000000.0,-20382000000.0,145.0787034034729
AAPL,2021-12-31,123945000000.0,41488000000.0,34630000000.0,44632000000.0,381191000000.0,309259000000.0,122798000000.0,65253000000.0,37119000000.0,46966000000.0,44163000000.0,-16106000000.0,-28159000000.0,155.9703562259674
AAPL,2022-03-31,97278000000.0,29979000000.0,25010000000.0,33567000000.0,350662000000.0,283263000000.0,119981000000.0,45400000000.0,28098000000.0,28166000000.0,25652000000.0,-9265000000.0,-28351000000.0,166.18398112635458
ADBE,2003-03-31,296895000.0,80508000.0,54225000.0,89457000.0,1087831000.0,390398000.0,0.0,158939000.0,142097000.0,79347000.0,71857000.0,-88138000.0,-34365000.0,13.988337829464772
ADBE,2003-06-30,320100000.0,91461000.0,64200000.0,107665000.0,1240000000.0,433000000.0,0.0,159000000.0,142000000.0,128091000.0,116399000.0,-162860000.0,33190000.0,17.152995548551043
ADBE,2003-09-30,319100000.0,92215000.0,64500000.0,107382000.0,1287000000.0,423000000.0,0.0,141000000.0,144000000.0,97083000.0,89401000.0,-82806000.0,-10963000.0,18.0496598482132
ADBE,2003-12-31,358600000.0,115263000.0,83300000.0,135175000.0,1555000000.0,454000000.0,0.0,174000000.0,190000000.0,128615000.0,116025000.0,-214588000.0,129156000.0,20.660690307617188
ADBE,2004-03-31,423300000.0,163262000.0,123000000.0,183638000.0,1692000000.0,474000000.0,0.0,155000000.0,200000000.0,185461000.0,171017000.0,-157714000.0,-18237000.0,18.88988553324053
ADBE,2004-06-30,410100000.0,141839000.0,109400000.0,167641000.0,1733000000.0,471000000.0,0.0,144000000.0,219000000.0,147000000.0,134509000.0,-59608000.0,-68002000.0,21.80805157076928
ADBE,2004-09-30,403700000.0,140314000.0,104500000.0,158328000.0,1721000000.0,495000000.0,0.0,137000000.0,199000000.0,160446000.0,146029000.0,-23970000.0,-156427000.0,22.572023183107376
ADBE,2004-12-31,429500000.0,146379000.0,113500000.0,174001000.0,1959000000.0,535000000.0,0.0,167000000.0,259000000.0,190837000.0,168963000.0,-35290000.0,18148000.0,28.90685856342316
ADBE,2005-03-31,472900000.0,170712000.0,151900000.0,199354000.0,2123000000.0,498000000.0,0.0,167000000.0,217000000.0,164097000.0,152585000.0,-227500000.0,22867000.0,31.0005217380211
